name,serving_size,ingredients,tag,allergy,energy,protein,total_fat,sat_fat,trans_fat,chol,carbs,total_sugar,added_sugar,sodium,description
Black Coffee®,200ml,,,No Allergens,6.8,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,Perfectly brewed for any time of the day.
Butter Chicken Grilled Burger,153g,"Premium grilled chicken patty, Shredded onion, Sesame seeded buns",Dil se makhani burger.,"Cereal containing gluten, Milk, Soya",357.01,17.06,14.41,4.65,0.0,31.93,39.76,6.55,4.71,919.59,Premium grilled chicken patty topped with makhani sauce and shredded onions placed between freshly toasted sesame seeded buns.
Butter Paneer Grilled Burger,142g,"Mildly spiced grilled paneer patty, Shredded onion, Sesame seeded buns",Dil se makhani burger.,"Cereal containing gluten, Milk, Soya",382.26,12.85,17.15,8.29,0.0,6.62,44.12,8.78,5.08,900.37,Mildly spiced grilled paneer patty topped with makhani sauce and shredded onions placed between freshly toasted sesame seeded buns.
Cheesy Fries,150g,"Salted Fries, Smoky Chipotle Sauce","Hi, it’s cheese on this side!",Milk,453.92,7.19,21.1,10.64,0.59,3.89,41.94,0.95,0.4,430.79,The all-time favourite fries with a generous dollop of cheesy yet smoky chipotle sauce.
Chicken Maharaja Mac®,296g,"Maharaja bun crown, Haberno sauce, Shredded lettuce, Shredded onion, Jalapenos, Flame-grilled chicken patty, Sliced cheese, Maharaja bun heel",A royal treat.,"Cereal containing gluten, Milk, Soya",689.12,34.0,36.69,10.33,0.25,81.49,55.39,8.92,6.14,1854.71,"
                                A double-decker toasted Maharaja bun sandwiched with one layer of flame-grilled chicken patty; crunchy iceberg lettuce; shredded onion; and a slice of cheese. Topped with another layer of flame-grilled
                                chicken patty; tomato slices; and crunchy iceberg lettuce infused with harberno sauce.
                            "
Chicken McNuggets®,64g ,Chicken bites,Each bite is better than the last.,Cereal containing gluten,169.68,10.03,9.544,4.45,0.06,24.66,10.5,0.32,0.0,313.25,"Bite-sized pieces of breaded, boneless chicken formed in various shapes (Ball, Boot, Bell & Bone) fried and served hot with smoky Barbeque Sauce or Mustard Sauce."
Chicken McNuggets®, 96g ,Chicken bites,Each bite is better than the last.,Cereal containing gluten,254.52,15.04,14.3,6.68,0.1,36.99,15.74,0.48,0.0,469.87,"Bite-sized pieces of breaded, boneless chicken formed in various shapes (Ball, Boot, Bell & Bone) fried and served hot with smoky Barbeque Sauce or Mustard Sauce."
Chicken McNuggets®, 320g,Chicken bites,Each bite is better than the last.,Cereal containing gluten,806.1,47.6,46.9,21.11,0.3,115.0,49.88,1.7,0.0,1490.0,"Bite-sized pieces of breaded, boneless chicken formed in various shapes (Ball, Boot, Bell & Bone) fried and served hot with smoky Barbeque Sauce or Mustard Sauce."
Chicken McNuggets®, 144g ,Chicken bites,Each bite is better than the last.,Cereal containing gluten,381.77,22.56,21.46,10.02,0.14,55.48,23.62,0.72,0.0,704.81,"Bite-sized pieces of breaded, boneless chicken formed in various shapes (Ball, Boot, Bell & Bone) fried and served hot with smoky Barbeque Sauce or Mustard Sauce."
Cold Coffee Mcfloat®,270ml,,,Milk,270.05,5.91,7.18,4.89,0.0,15.81,45.44,36.18,19.98,173.59,Rich smooth creamy cold coffee along with sweet vanilla flavoured soft serve mix.
Cold Coffee®,250ml,,,Milk,301.1,9.75,11.15,7.45,0.0,27.4,40.2,37.5,21.25,175.0,A rich smooth creamy cold coffee made with coffee powder and milk.
Dosa Masala Burger®,138g,"Whole wheat bun, Rasam mayo, Dosa masala aloo patty",A new taste of India.,"Cereal containing gluten, Milk, Soya",340.23,5.66,12.39,4.22,0.0,0.0,51.52,12.68,6.4,710.54,Turmeric-spiced mashed potato filling topped with fresh peas. Grilled and placed inside a soft whole wheat bun with a spicy molagapodi chutney mayo.
Fillet-O-Fish®,136g,"Steamed regular bun, Chunky tartar mayo, Fish fillet patty, Cheese",This one's a great catch.,"Cereal containing gluten, Milk, Egg, Fish, Soya",348.11,15.44,14.16,5.79,0.21,32.83,38.85,5.58,3.54,530.54,"Made with Alaskan Pollock sourced from sustainable fisheries; topped with a melty American cheese slice and creamy tartar sauce; and served on a soft, steamed bun."
Iced Tea®,400ml,,,No Allergens,242.52,1.08,0.12,0.0,0.0,0.0,59.28,58.08,55.16,16.68,A blend of aromatic tea and the fruity flavour of lemon.
Masala Chai®, 150ml,,,Milk,94.23,1.37,1.46,0.87,0.04,0.0,18.9,15.06,13.68,7.08,"Masala chai is a smooth and spicy blend of natural tea extract, milk solids, black pepper, fennel, clove and cinnamon."
Masala Chai®,90ml ,,,Milk,54.97,0.8,0.85,0.51,0.02,0.0,11.02,8.79,7.98,4.13,"Masala chai is a smooth and spicy blend of natural tea extract, milk solids, black pepper, fennel, clove and cinnamon."
McAloo Tikki Burger®,146g,"Regular bun crown, Tom-Mayo sauce, Sliced tomatoes, Shredded onion, Aloo tikki patty, Regular bun heel",The one that never goes out of f(l)avour.,"Cereal containing gluten, Milk, Soya",339.52,8.5,11.31,4.27,0.2,1.47,50.27,7.05,4.07,545.34,"A golden fried vegetarian patty prepared with peas, potato and infused with aromatic spices. Clubbed with sliced tomatoes, shredded red onion, and tangy tomato mayonnaise. Served in a warm toasted bun."
McChicken®,173g,"Quarter bun crown, Veg mayonnaise, Shredded lettuce, McChicken patty, Quarter bun heel",Familiarity breeds confidence.,"Cereal containing gluten, Milk, Soya",400.8,15.66,15.7,5.47,0.16,31.17,47.98,5.53,4.49,766.33,"Batter & breaded chicken patty containing green peas, carrots, green beans, onion, potatoes, rice and spices, served in a bun with eggless mayonnaise and lettuce."
McEgg®,115g,"Regular bun crown, Mayonnaise, Crisp onion, Egg, Curry spices, Regular bun heel",Because eggs are great any time of the day.,"Cereal containing gluten, Milk, Egg, Soya",265.0,12.0,10.0,0.8,0.1,76.88,31.0,5.0,1.6,675.0,"
                                Made with the freshest, warm, off-the-farm egg; steamed to perfection in our specialised steamer; and made tasty with a sprinkling of magic masala. Sandwiched between freshly toasted buns, topped off with
                                creamy mayo and some crunchy onion.
                            "
McFlurry (Choco Crunch)®, 167.38g,"Milk fat, Chocolate",Burgers aren't the only things we're good at.,"Milk, Soya",703.17,10.99,19.68,13.8,0.21,11.06,117.78,66.93,54.51,295.89,Milk-based frozen dessert with chocolate crispies and chocolate dip.
McFlurry (Choco Crunch)®,94.29g ,"Milk fat, Chocolate",Burgers aren't the only things we're good at.,"Milk, Soya",115.19,2.62,5.39,3.91,0.07,5.37,23.67,17.36,13.04,57.8,Milk-based frozen dessert with chocolate crispies and chocolate dip.
McFlurry (Oreo)®,86.79g ,"Milk fat, Oreo",Burgers aren't the only things we're good at.,"Cereal containing gluten, Milk, Soya, Sulphites",116.36,2.05,3.7,2.25,0.07,4.8,18.69,14.49,10.8,80.73,Milk-based frozen dessert with oreo cookies.
McFlurry (Oreo)®, 147.38g,"Milk fat, Oreo",Burgers aren't the only things we're good at.,"Cereal containing gluten, Milk, Soya, Sulphites",209.39,3.58,6.81,4.07,0.12,8.0,33.42,25.35,19.23,150.9,Milk-based frozen dessert with oreo cookies.
McSpicy Chicken®,186g,"Quarter pounder bun crown, Veg sauce, Shredded lettuce, McSpicy chicken patty, Quarter pounder bun heel",Hot. In more ways than one.,"Cereal containing gluten, Milk, Egg, Soya",451.92,21.46,19.36,7.63,0.18,66.04,46.08,5.88,4.49,928.52,"
                                Zesty and redolent whole muscle leg meat patty: Fried to perfect golden tan; quenched with creamy veg mayo and garden-fresh shredded iceberg lettuce. The sandwich is served in fresh, sesame-studded quarter
                                pounder bun.
                            "
McSpicy Paneer®,199g,"Quarter pounder bun crown, Shredded lettuce, Tandoori mayo, Spicy paneer patty, Quarter pounder bun heel",Let paneer surprise you.,"Cereal containing gluten, Milk, Soya",652.76,20.29,39.45,17.12,0.18,21.85,52.33,8.35,5.27,1074.58,Crispy and spicy paneer patty with creamy tandoori sauce and crispy lettuce topping.
McSwirl Chocolate®,93.29g,"Soft serve mix (100% diary product), Chocolate dip",Melts in your mouth. Goes to your heart.,"Cereal containing gluten, Milk, Soya",160.14,2.71,7.14,5.25,0.07,5.71,20.92,15.39,11.31,51.31,Delightful soft-serve with a delectable chocolate topping.
McVeggie®,168g,"Quarter bun crown, Veg mayonnaise, Shredded lettuce, Vegetable patty, Quarter bun heel",Pure taste. Pure veg.,"Cereal containing gluten, Milk, Soya",402.05,10.24,13.83,5.34,0.16,2.49,56.54,7.9,4.49,706.13,"A delectable patty made of green goodness, potatoes, peas, carrots and a selection of Indian spices. Topped with crispy lettuce, mayonnaise, and packed into sesame toasted buns."
Our World Famous Fries®,77g ,Potato and salt,The legend among legends.,No Allergens,224.59,3.38,10.39,4.97,0.08,0.77,27.08,0.39,0.0,153.15,"The crisp, craveable, fan favourite: our World Famous Fries®. These epic fries are crispy and golden on the outside and fluffy on the inside."
Our World Famous Fries®, 154g,Potato and salt,The legend among legends.,No Allergens,449.17,6.76,20.77,9.95,0.15,1.54,54.16,0.77,0.0,306.29,"The crisp, craveable, fan favourite: our World Famous Fries®. These epic fries are crispy and golden on the outside and fluffy on the inside."
Our World Famous Fries®, 109g ,Potato and salt,The legend among legends.,No Allergens,317.92,4.79,14.7,7.04,0.11,1.09,38.34,0.55,0.0,216.79,"The crisp, craveable, fan favourite: our World Famous Fries®. These epic fries are crispy and golden on the outside and fluffy on the inside."
Pizza McPuff®,87g,"Assorted vegetables, Refined wheat flour, Pizza seasoning",Something different. Something delicious.,"Cereal containing gluten, Milk, Soya",228.21,5.45,11.44,5.72,0.09,5.17,24.79,2.73,0.35,390.74,"A blend of assorted vegetables (carrot, beans,capsicum, onion & green peas); mozzarella cheese mixed with tomato sauce; and exotic spices stuffed in rectangle shaped savoury dough. Quick frozen."
Soft Serve Cone®,81.29g,Soft serve mix (100% diary product),Delightfully basic.,"Cereal containing gluten, Milk, Soya",85.73,1.99,1.82,1.31,0.05,4.75,15.23,10.68,6.99,40.78,Creamy vanilla soft-serve on a cone.
Spicy Chicken Wrap®,257g,"Whole wheat flat bread, Spicy chicken patty, Veg mayo, Lettuce, Onion, Tomato, Cheese","Familiar, yet different.","Cereal containing gluten, Milk, Egg, Soya",567.19,23.74,26.89,12.54,0.27,87.63,57.06,2.52,1.08,1152.38,"Juicy chicken coated with hot and crispy batter; dressed with a fresh salad of lettuce, onions, tomatoes and seasonings. Served with creamy sauce and supple cheese slices."
Spicy Paneer Wrap®,250g,"Whole wheat flat bread, Spicy paneer patty, Veg mayo, Lettuce, Onion, Tomato, Mustard sauce, Cheese",Unwrap deliciousness.,"Cereal containing gluten, Milk, Soya",674.68,20.96,39.1,19.73,0.26,40.93,59.278,3.5,1.08,1087.46,"Tender paneer patty with a fiery, crunchy batter coating; dressed with fresh veggies and seasonings; topped with creamy sauce; and a dash of mustard and melted cheese."
Sundae (Chocolate Brownie)®,110.79g ,"Soft serve mix (100% diary), Hazelnut brownie, Hot fudge topping",A global favourite.,"Cereal containing gluten, Milk, Nuts",205.26,3.2,5.45,3.65,0.1,6.04,35.26,20.75,14.39,100.89,"An iconic premium dessert option. Can be bought as an add-on to make it a ""full meal"" or simply as an indulgence."
Sundae (Chocolate Brownie)®, 155.08g,"Soft serve mix (100% diary), Hazelnut brownie, Hot fudge topping",A global favourite.,"Cereal containing gluten, Milk, Nuts",311.39,4.65,7.46,4.71,0.13,7.78,55.24,27.94,20.28,146.4,"An iconic premium dessert option. Can be bought as an add-on to make it a ""full meal"" or simply as an indulgence."
Sundae (Chocolate)®, 132.08g,"Soft serve mix (100% diary), Hot fudge topping",Much more than ice-cream.,Milk,197.45,3.49,6.87,5.16,0.13,8.55,30.42,27.01,16.9,110.39,Creamy vanilla soft-serve topped with thick and rich hot fudge.
Sundae (Chocolate)®,91.79g ,"Soft serve mix (100% diary), Hot fudge topping",Much more than ice-cream.,Milk,121.64,2.25,4.02,3.01,0.08,5.85,19.11,17.07,10.78,65.56,Creamy vanilla soft-serve topped with thick and rich hot fudge.
Sundae (Strawberry)®, 132.08g,"Soft serve mix (100% diary), Strawberry topping",A little zing goes a long way.,Milk,156.14,2.05,2.36,1.74,0.1,6.55,31.77,28.2,20.32,48.28,Creamy vanilla soft-serve with strawberry topping.
Sundae (Strawberry)®,91.79g ,"Soft serve mix (100% diary), Strawberry topping",A little zing goes a long way.,Milk,100.99,1.54,1.77,1.3,0.06,4.85,19.78,17.66,12.49,34.51,Creamy vanilla soft-serve with strawberry topping.
Veg Maharaja Mac®,306g,"Maharaja bun crown, Cocktail sauce, Shredded lettuce, Shredded onion, Jalepenos, Corn & cheese patty, club, Sliced cheese, Maharaja bun heel",A feast fit for kings (and queens).,"Cereal containing gluten, Milk, Soya",832.67,24.17,37.94,16.83,0.28,36.19,93.84,11.52,6.92,1529.22,"
                                A double-decker toasted Maharaja bun sandwiched with one layer of corn & cheese patty; crunchy iceberg lettuce; shredded onion; and a slice of cheese. Topped with another layer of corn & cheese patty;
                                tomato slices; and crunchy iceberg lettuce infused with harberno sauce.
                            "
Veg Surprise Burger,132g,"Regular Bun, Italian mayo, Shredded onion, Herb Chilli Potato patty",A surprise that will leave you wide-eyed.,"Cereal containing gluten, Milk, Soya",313.44,5.71,14.95,3.73,0.14,0.0,39.84,5.66,1.64,504.19,A scrumptious potato patty topped with a delectable Italian herb sauce and shredded onions placed between perfectly toasted buns.
